Name,LineNum,Line
"lauricochae, Planorbis Philippi, 1869",17167,"lauricochae, Planorbis Philippi, 1869a, 16:38"
"laurinea, Pupa R. Lowe, 1852",17168,"laurinea, Pupa R. Lowe, 1852, 9:276; Albers, 1854a:64, plate 15: figures 31, 32"
"lauta, Alaba (Diala) A. Adams, 1862",17169,"lauta, Alaba (Diala) A. Adams, 1862h, 10:298"
"lauta, Bullina Pease, 1860",17170,"lauta, Bullina Pease, 1860a:19; G. Sowerby, 1870 [in 1865-1870], lX(Bullina): species 4"
"lauta, Cyrena Deshayes, 1854",17171,"lauta, Cyrena Deshayes, 1854a: 15"
"lauta, Drillia Pease, 1868",17172,"lauta, Drillia Pease, 1868b, 3:220, plate 15: figure 18"
"lauta, Monoptygma A. Adams, 1851",17173,"lauta, Monoptygma A. Adams, 1851f:223; 1854h:8l7, plate 172: figure 20"
"lauta, Succinea Gould, 1858",17174,"lauta, Succinea Gould, 1858, 6:422; Martens, 1867f, 2:34, plate 22: figure 20"
"lauta, Tellina Gould, 1851",17175,"lauta, Tellina Gould, 1851m, 3:252; 1852, 12:408, figure 514"
"lauta, Terebra Pease, 1869",17176,"lauta, Terebra Pease, 1869f, 5:66"
"lautum, Carychium Frauenfeld, 1854",17177,"lautum, Carychium Frauenfeld, 1854, 4:33, plate: figure 4"
"lautus, Bulimus Gould, 1856",17178,"lautus, Bulimus Gould, 1856b, 6:12"
"lautus, Planorbis (Helisoma) H. Adams, 1861",17179,"lautus, Planorbis (Helisoma) H. Adams, 1861a: 145"
"lautus, Trochus Stoliczka, 1861",17180,"lautus, Trochus Stoliczka, 1861, 43:169, plate I: figure 14"
"lavandulae, Helix Bourguignat, 1863",17181,"lavandulae, Helix Bourguignat, 1863 [in 1863-1870], 3:55, plate 8: figures 1-5"
"lavenayanus, Galeropsis Hupe, 1860",17182,"lavenayanus, Galeropsis Hupe, 1860b, 12:127, plate 10: figure 4 NUMBER 294 343"
"lavinia, Holopea Billings, 1865",17183,"lavinia, Holopea Billings, 1865:28"
"lavvleyianus, Unio Gentiluomo, 1868",17184,"lavvleyianus, Unio Gentiluomo, 1868j, 1:54, plate 4: figures 1-3"
"lawleyanum, Bittium Crosse, 1863",17185,"lawleyanum, Bittium Crosse, 1863c, 11:87, plate 1: figure 4"
"lawleyanus, Zonites Bourguignat, 1863",17186,"lawleyanus, Zonites Bourguignat, 1863 [in 1863-1870], 3:53, plate 8: figures 11-14"
