Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Subemarginula oldhamiana Nevill, in Nevill and Nevill, 1869",Subemarginula oldhamiana,"Subemarginula oldhaminana G. Nevill & H. Nevill, 1869",Subemarginula oldhaminana,true,"oldhamiana, Subemarginula Nevill, in Nevill and Nevill, 1869",Mollusca,22276,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","oldhamiana, Subemarginula Nevill, in Nevill and Nevill, 1869,38(2): 162, plate 17: figure 17"
"Elysia viridis olicacea Jeffreys, 1869",Elysia viridis olicacea,"Elysia viridis var. olivacea Jeffreys, 1869",Elysia viridis olivacea,true,"olicacea, Elysia viridis Jeffreys, 1869",Mollusca,22288,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","olicacea, Bym viridis Jeffreys, 1869 [in 1862-1869], 5:32 oli/ex, Crenatula Quenstedt, 1856 [in 1856-1858]:87, plate 11: figure 6"
"Margarita orbiculata Stoliczka, 1868",Margarita orbiculata,"Margarita (Unio) orbiculatus (Hildreth, 1828)",Margarita orbiculatus,true,"orbiculata, Margarita Stoliczka, 1868",Mollusca,22472,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","orbiculata, Margarita Stoliczka, 1868 [in 1867-1868], 2:377, plate 24: figure 16"
"Cassidaria orbignyi Bellardi, 1852",Cassidaria orbignyi,"Cassidaria orbigny Bellardi, 1852",Cassidaria orbigny,true,"orbignyi, Cassidaria Bellardi, 1852",Mollusca,22503,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","orbignyi, Cassidaria Bellardi, 1852, 4:224, plate 14: figures 6, 7"
"Trochus ornatissima Piette, 1855",Trochus ornatissima,Trochus ornatissimus,Trochus ornatissimus,true,"ornatissima, Trochus Piette, 1855",Mollusca,22627,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ornatissima, Trochus Piette, 1855a, 12:1095"
"Lutaria ovalis Mayer, 1867",Lutaria ovalis,Lutraria ovalis,Lutraria ovalis,true,"ovalis, Lutaria Mayer, 1867",Mollusca,22731,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovalis, Lutaria Mayer, 1867b:56"
"Bullia (Bulliopsis) ovata Conrad, 1862",Bullia ovata,Bulla ovata,Bulla ovata,true,"ovata, Bullia (Bulliopsis) Conrad, 1862",Mollusca,22748,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovata, Bullia (Bulliopsis) Conrad, 1862a:287"
"Bulimus oveanus Dotzauer, in Mousson, 1869",Bulimus oveanus,"Bulimus ouveanus Mousson, 1869",Bulimus ouveanus,true,"oveanus, Bulimus Dotzauer, in Mousson, 1869",Mollusca,22787,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","oveanus, Bulimus Dotzauer, in Mousson, 1869b, 17:60, plate 4: figure 4 a"
"Actaeon ovoidea Gabb, 1861",Actaeon ovoidea,Acteon ovoidea Gabb 1862,Acteon ovoidea,true,"ovoidea, Actaeon Gabb, 1861",Mollusca,22802,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovoidea, Actaeon Gabb, 1861b:319"
"Acteon ovula Orbigny, 1852",Acteon ovula,Acteon ovulum,Acteon ovulum,true,"ovula, Acteon Orbigny, 1852",Mollusca,22810,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovula, Acteon Orbigny, 1852 [in 1850-1852], 3:36"
"Mondonta ovulata Hebert and Eudes-Deslongchamps, 1860",Mondonta ovulata,Monodonta ovulata (Hebert and Deslongchamps 1860),Monodonta ovulata,true,"ovulata, Mondonta Hebert and Eudes-Deslongchamps, 1860",Mollusca,22816,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovulata, Mondonta Hebert and Eudes-Deslongchamps, 1860, 5:210, plate 2: figures 9 a.b; as Chrysostoma, Laube, 1868a, 28(2): 13, plate 3: figure 3"
"Cylichna ovum-lacerti Guppy, 1867",Cylichna ovum-lacerti,Cylichna ovumlacerti (Guppy 1874),Cylichna ovumlacerti,true,"ovum-lacerti, Cylichna Guppy, 1867",Mollusca,22832,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ovum-lacerti, Cylichna Guppy, 1867e, 1:168"
"Ophileta oweniana Meek and Worthen, 1868",Ophileta oweniana,Ophileta owenana (Meek and Worthen 1868),Ophileta owenana,true,"oweniana, Ophileta Meek and Worthen, 1868",Mollusca,22842,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","oweniana, Ophileta Meek and Worthen, 1868, 3:313, plate 3: figures 6 a,b"
"Venus pajaroana Conrad, 1857",Venus pajaroana,Venus pajaroanus (Conrad 1857),Venus pajaroanus,true,"pajaroana, Venus Conrad, 1857",Mollusca,22939,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pajaroana, Venus Conrad, 1857b, 7:192, plate 4: figures I, 2"
"Acmaea palaecea Gould, 1853",Acmaea palaecea,Acmaea palacea Gould,Acmaea palacea,true,"palaecea, Acmaea Gould, 1853",Mollusca,22958,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","palaecea, Acmaea Gould, 1853, 6:376, plate 14: figure 5"
"Cardium pallasanum Basterot. in Mayer, 1864",Cardium pallasanum,Cardium pallasianum Bast.,Cardium pallasianum,true,"pallasanum, Cardium Basterot. in Mayer, 1864",Mollusca,22967,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pallasanum, Cardium Basterot. in Mayer, 1864 [in 1857-1869], 12: 355"
